,AAPL,AMZN,GOOGL,MSFT,NVDA
2022-01-03,177.93972778320312,170.4044952392578,143.802978515625,322.46234130859375,30.06113624572754
2022-01-04,175.68138122558594,167.52200317382812,143.2158203125,316.93310546875,29.231792449951172
2022-01-05,171.0082550048828,164.35699462890625,136.64561462402344,304.7666931152344,27.549142837524414
2022-01-06,168.15357971191406,163.25399780273438,136.6183624267578,302.35845947265625,28.12200164794922
2022-01-07,168.3197784423828,162.5540008544922,135.89381408691406,302.5126037597656,27.192852020263672
2022-01-10,168.3393096923828,161.48599243164062,137.5327911376953,302.734130859375,27.345548629760742
2022-01-11,171.16476440429688,165.36199951171875,138.590576171875,303.4180908203125,27.761716842651367
2022-01-12,171.6046600341797,165.20700073242188,140.27114868164062,306.58721923828125,27.943355560302734
2022-01-13,168.3393096923828,161.21400451660156,137.45098876953125,293.61175537109375,26.522192001342773
2022-01-14,169.1996612548828,162.13800048828125,138.33717346191406,298.8135681152344,26.888460159301758
2022-01-18,166.0027618408203,158.91749572753906,134.88319396972656,291.5406799316406,25.85152244567871
2022-01-19,162.5126190185547,156.2989959716797,134.00892639160156,292.1956481933594,25.017181396484375
2022-01-20,160.83106994628906,151.66749572753906,132.21473693847656,290.5292053222656,24.102005004882812
2022-01-21,158.77806091308594,142.64300537109375,129.28298950195312,285.1636657714844,23.32754898071289
2022-01-24,158.00567626953125,144.54400634765625,129.73175048828125,285.4911193847656,23.325550079345703
2022-01-25,156.2068634033203,139.98599243164062,125.89447784423828,277.9004211425781,22.279632568359375
2022-01-26,156.11888122558594,138.87249755859375,128.1736602783203,285.81866455078125,22.726747512817383
2022-01-27,155.65936279296875,139.6374969482422,127.947509765625,288.83380126953125,21.900388717651367
2022-01-28,166.52093505859375,143.97799682617188,132.2578887939453,296.94476318359375,22.794607162475586
2022-01-31,170.8714141845703,149.57350158691406,134.1943817138672,299.5649108886719,24.43733787536621
2022-02-01,170.7052001953125,151.19349670410156,136.5157012939453,297.42645263671875,24.589035034179688
2022-02-02,171.90769958496094,150.6125030517578,146.78680419921875,301.9538879394531,25.191837310791016
